Source Name,RA (HMS),Dec (DMS)
J1120-3618,11:20:23.3580,-36:19:40.468
J1121-5444,11:21:19.09,-54:44:05.1
J1122-3546,11:22,-35:46
J1123-4844,11:23:15.651,-48:44:22.75
J1123-6102,11:23:41.70,-61:02:06.2
J1123-6259,11:23:55.53,-62:59:10.92
J1123-6651,11:23:52.210,-66:51:49.07
J1124-3653,11:24:01.116,-36:53:19.10
J1124-5638,11:24:56.47,-56:38:39.7
J1124-5916,11:24:39.0,-59:16:19
J1124-6421,11:24:59.5,-64:21:17
J1125+7819,11:25:59.85672309,+78:19:48.6991467
J1125-5825,11:25:44.36564,-58:25:16.8798
J1125-6014,11:25:55.22827669,-60:14:06.71175823
J1126-2737,11:26:02,-27:37:11
J1126-38,11:26:18,-38:38
J1126-6054,11:26:52.608,-60:54:39.96
J1126-6942,11:26:21.66,-69:42:15.8
J1128-6219,11:28:46.7,-62:19:09
J1129-53,11:29:21,-53:31
J1130+09,11:30:55.0,+09:20:48.55
J1130-5826,11:30:16.33,-58:26:02.3
J1130-5925,11:30:10.44,-59:25:34.1
J1130-6807,11:30:31.913,-68:07:28.52
J1132+25,11:32:50,+25:15
J1132-4700,11:32:14.52,-47:00:36.5
J1132-5627,11:32:15.74,-56:27:28.9
J1133-6250,11:33:51.45,-62:50:50.6
J1135-49,11:35:56,-49:25:31
J1135-6055,11:35:08.375,-60:55:36.48
J1136+1551,11:36:03.1198,+15:51:14.183
J1136-5525,11:36:02.16,-55:25:06.9
J1136-6527,11:36:25.22,-65:27:19.5
J1137+7528,11:37:02.0573,+75:28:02.3111
J1137-6700,11:37:32.089,-67:00:33.01
J1138-6207,11:38:21.62,-62:07:59.3
J1139-6247,11:39:17.1,-62:47:25
J1141-3107,11:41:25.629,-31:07:52.6
J1141-3322,11:41:42.756,-33:22:37.31
J1141-6545,11:41:07.0140,-65:45:19.1131
J1142+0119,11:42:50.145,+01:19:35.69
J1142-6230,11:42:52.5,-62:30:03.9
J1143-5158,11:43:15.065,-51:58:39.89
J1143-5536,11:43:09.79,-55:36:04.5
J1144-6146,11:44:34.8,-61:46:49
J1144-6217,11:44:02.11,-62:17:30.3
J1146-6030,11:46:07.7152,-60:30:59.622
J1146-6610,11:46:58.3731,-66:10:51.358
J1148-5725,11:48:28.53,-57:25:12.6
J1148-6415,11:48:37.8,-64:15:33
J1151-6108,11:51:56.86,-61:08:17.6
J1152-5800,11:52:10.0,-58:00:34
J1152-6012,11:52:53.8,-60:12:21
J1153-2117,11:52:58,-21:17:53
J1154-19,11:54,-19:00:00
J1154-6250,11:54:20.1,-62:50:02.7
J1156-1318,11:56:42,-13:18:22
J1156-5707,11:56:07.45,-57:07:02.1
J1156-5909,11:56:21.5,-59:09:12.3
J1157-5112,11:57:08.166,-51:12:56.14
J1157-6224,11:57:15.207,-62:24:50.93
J1159-6409,11:59:21.7,-64:09:57
J1159-7910,11:59:35.71,-79:10:05.6
J1201-6306,12:01:23.01,-63:06:59.5
J1202-5820,12:02:28.325,-58:20:33.64
J1203-6242,12:03:55.3,-62:42:44
J1204-6843,12:04:36.72,-68:43:17.19
J1207-4508,12:07:19.26,-45:08:09.1
J1207-5050,12:07:22.40392,-50:50:38.680
J1208-6238,12:08:13.96,-62:38:03.3
J1210-5226,12:10:00.91,-52:26:28.4
J1210-5559,12:10:05.98706,-55:59:03.8501
J1210-6322,12:10:46.78,-63:22:20.9
J1210-6550,12:10:42.0,-65:50:04.6
J1211-6324,12:11:24.18,-63:24:45.2
J1214-5830,12:14:08.42,-58:30:25.9
J1215-5328,12:15:00.62,-53:28:31.6
J1216-50,12:16:20,-50:27:01
J1216-6223,12:16:41.96,-62:23:57.00
J1216-6410,12:16:07.3396,-64:10:09.226
J1220-6318,12:20:17.86,-63:18:46.5
J1221-0633,12:21:24.8,-06:33:51
J1222-5738,12:22:52.3,-57:38:20
J1223-5856,12:23:40.14,-58:56:48.9
J1224-6208,12:24:44.25,-62:08:41.1
J1224-6407,12:24:22.254,-64:07:53.87
J1225-5556,12:25:43.827,-55:56:43.14
J1225-6035,12:25:28.63,-60:35:37.6
J1225-6408,12:25:42.8,-64:08:43
J1226+0005,12:26:14.4,+00:05:44
J1226-3223,12:26:46.628,-32:23:01
J1227-4853,12:27:58.724,-48:53:42.741
J1227-6208,12:27:00.4413,-62:08:43.789
J1227-63,12:27:12,-63:09
J1231-1411,12:31:11.3132,-14:11:43.63
J1231-4609,12:31:45.76,-46:09:45.2
J1231-5113,12:31:35.7,-51:13:35
J1231-6303,12:31:13.0,-63:03:18
J1231-6511,12:31:43.9,-65:11:48
J1232-4742,12:32:19.1,-47:42:50.9
J1232-6501,12:32:17.840,-65:01:03.33
J1233-6312,12:33:31.5,-63:12:29
J1233-6344,12:33:39.9,-63:44:55
J1234-3630,12:34:12.00,-36:30:41.1
J1235-54,12:35:19,-54:57
J1235-6354,12:35:57.72,-63:54:30.4
J1236-0159,12:36:02.5,-01:59:10
J1236-5033,12:36:59.15,-50:33:36.3
J1237-6725,12:37:25.9,-67:25:33.9
J1238+2152,12:38:23.17562011,+21:52:11.05733508
J1239+2453,12:39:40.4614,24:53:49.29
J1239+32,12:39,+32:00:00
J1239-48,12:39,-48:00
J1239-6832,12:39:58.96,-68:32:28.94
J1240-4124,12:40:17.61,-41:24:51.7
J1242+39,12:42:34,+39:38
J1243+17,12:43:00,+17:52
J1243-5735,12:43:35.38,-57:35:42.8
J1243-6423,12:43:17.101,-64:23:23.73
J1244-1812,12:44:25.78,-18:12:16.2
J1244-5053,12:44:11.48,-50:53:20.6
J1244-6359,12:44:47.693,-63:59:47.4
J1244-6531,12:44:38.3,-65:31:12
J1245-6238,12:45:21.12,-62:38:55.9
J1246+2253,12:46:49.363,22:53:43.27
J1248-6344,12:48:46.36,-63:44:09.6
J1248-6444,12:48:32.87,-64:44:00.0
J1249-6507,12:49:54.32,-65:07:19.8
J1251-7407,12:51:52.94,-74:07:15.04
J1252+53,12:52,+53:42
J1252-6314,12:52:42.62,-63:14:32.7
J1253-5820,12:53:28.342,-58:20:40.89
J1254-6150,12:54:32.48,-61:50:50.8
J1255-46,12:55,-46:00
J1255-6131,12:55:54.86,-61:31:10.1
J1255-62,12:55:18,-62:48
J1257-1027,12:57:04.7625,-10:27:05.551
J1259-6741,12:59:22.64,-67:41:40.27
J1300+1240,13:00:03.5767,+12:40:56.4721
J1300-6602,13:00:26.93,-66:02:16.8
J1301+0833,13:01:38.26,+08:33:57.5
J1301-6305,13:01:45.76,-63:05:33.9
J1301-6310,13:01:28.30,-63:10:40.5
J1302-3258,13:02:26,-32:58:48
J1302-63,13:02:04,-63:44:53
J1302-6313,13:02:19.2,-63:13:29
J1302-6350,13:02:47.638337,-63:50:08.62859
J1303+38,13:03:18,+38:13
J1303-6305,13:03:00.02,-63:05:00.8
J1304+12,13:04:27,+12:02:28
J1305-6203,13:05:21.14,-62:03:21.07
J1305-6256,13:05:28.0,-62:56:39
J1305-6455,13:05:23.47,-64:55:28.5
J1305-66,13:05:36,-66:39
J1306-4035,13:06:56.30,-40:35:23.3
J1306-6242,13:06:44.6,-62:42:03
J1306-6617,13:06:38.12,-66:17:21.2
J1307-6318,13:07:54.7,-63:18:35
J1307-67,13:07:41,-67:03:27
J1308+2127,13:08:48.27,+21:27:06.78
J1308-23,13:08,-23:00:00
J1308-4650,13:08:44.589,-46:50:29.7
J1308-5844,13:08:21.08,-58:44:13.8
J1309-6415,13:09:16.6,-64:15:59
J1309-6526,13:09:00.29,-65:26:16.6
J1311-1228,13:11:52.64903881,-12:28:01.63900732
J1311-3430,13:11:45.7242,-34:30:30.350
J1312+0051,13:12:46.64232,+00:51:00.104
J1312+1810A,13:12:55.2,+18:10:05
J1312+1810B,13:12:55.2,+18:10:05
J1312+1810C,13:12:55.2,+18:10:05
J1312+1810D,13:12:55.2,+18:10:05
J1312-5402,13:12:04.708,-54:02:42.5
J1312-5516,13:12:53.533,-55:16:47.3
J1312-6400,13:12:07.16,-64:00:55.6
J1313+0931,13:13:23.0,+09:31:56
J1314-6101,13:14:23.4,-61:01:16
J1316-6232,13:16:46.3,-62:32:12.2
J1317-0157,13:17,-01:57
J1317-5759,13:17:46.29,-57:59:30.5
J1317-6302,13:17:44.69,-63:02:52.2
J1319-6056,13:19:20.250,-60:56:46.79
J1319-6105,13:19:26.32,-61:05:26.2
J1320+67,13:20,+67:30
J1320-3512,13:20:12.68,-35:12:26.0
J1320-5359,13:20:53.921,-53:59:05.00
J1321+8323,13:21:45.6315,+83:23:39.432
J1321-5922,13:21:39.56,-59:22:52.1
J1322-62,13:22:54,-62:51
J1322-6241,13:22:32.15,-62:41:53.5
J1322-6329,13:22:18.0,-63:29:37
J1324-6146,13:24:43.9,-61:46:00
J1324-6302,13:24:13.65,-63:02:21.1
J1325-6253,13:25:04.8907,-62:53:39.594
J1326+33,13:26:42,+33:46
J1326-4728A,13:26:39.670,-47:30:11.64
J1326-4728B,13:26:49.563,-47:29:24.62
J1326-4728C,13:26:44,-47:30
J1326-4728D,13:26:44,-47:30
J1326-4728E,13:26:44,-47:30
J1326-5859,13:26:58.217,-58:59:29.29
J1326-6408,13:26:32.433,-64:08:43.80
J1326-6700,13:26:02.73,-67:00:49.2
J1327-0755,13:27:57.5880,-07:55:29.80
J1327-6222,13:27:17.176,-62:22:45.46
J1327-6301,13:27:07.4320,-63:01:15.51
J1327-6400,13:27:10.27,-64:00:13.1
J1328-4357,13:28:06.432,-43:57:44.12
J1328-4921,13:28:33.58,-49:21:33.4
J1329+13,13:29:00,+13:44
J1329-6158,13:29:03.3,-61:58:59
J1331-5245,13:31:00.01,-52:45:25.4
J1332-03,13:32,-03:26
J1332-3032,13:32:52.48381812,-30:32:17.30937812
J1333-4449,13:33:44.829,-44:49:26.22
J1334+10,13:34:30,+10:05
J1334-5839,13:34:30.1091,-58:39:16.545
J1335-3642,13:35:36,-36:42
J1335-5656,13:35:05.4,-56:56:01
J1336+33,13:36:00,+33:46
J1336-2522,13:36:20.84,-25:22:01.6
J1337-4441,13:37:27.749,-44:41:42.3
J1337-6306,13:37:20.35,-63:06:23.3
J1337-6423,13:37:31.883,-64:23:04.915
J1338-6204,13:38:09.247,-62:04:18.7
J1339-4712,13:39:56.5886,-47:12:05.52
J1339-6618,13:39:56.6,-66:18:07.8
J1340-6456,13:40:00.32,-64:56:42.9
J1341-6023,13:41:07.37,-60:23:34.7
J1341-6220,13:41:42.63,-62:20:20.7
J1342+2822A,13:42:00.67,+28:22:31.4
J1342+2822B,13:42:11.0871,+28:22:40.141
J1342+2822C,13:42:11.6,+28:22:38
J1342+2822D,13:42:10.2,+28:22:36
J1342+2822E,13:42:11.6,+28:22:38
J1342+2822F,13:42:11.6,+28:22:38
J1343+6634,13:43:59.26,+66:34:25.05
J1344-5855,13:44:53.05,-58:55:24.77
J1344-6059,13:44:39.6,-60:59:31
J1345-6115,13:45:44.43,-61:15:30.6
J1346-4918,13:46:22.35,-49:18:07.2
J1347-5947,13:47:19.38,-59:47:39.8
J1348-6307,13:48:42.4,-63:07:4
J1349-6130,13:49:36.62,-61:30:17.12
J1349-63,13:49:18,-63:56
J1350-5115,13:50:16.159,-51:15:24.56
J1350-6225,13:50:44.45,-62:25:43.8
J1352-6803,13:52:34.45,-68:03:37.1
J1354+2454,13:54:04,+24:54:06
J1354-6249,13:54:35,-62:49:30
J1355-5153,13:55:58.692,-51:53:53.95
J1355-5747,13:55:36.95,-57:47:15
J1355-5925,13:55:59.11,-59:25:00.9
J1355-6206,13:55:21.34,-62:06:20.1
J1356-5521,13:56:50.558,-55:21:12.96
J1357-62,13:57:25,-62:28
J1357-6429,13:57:02.43,-64:29:30.2
J1358-2533,13:58:42,-25:33
J1358-6025,13:58:25.9,-60:25:56
J1359-6038,13:59:58.248,-60:38:07.55
J1400+21,14:00:18,+21:27
J1400-1431,14:00:37.00277075,-14:31:47.06001478
J1400-6325,14:00:45.69,-63:25:42.6
J1401-6357,14:01:52.45,-63:57:42.0
J1402+13,14:03:00,+13:09:12
J1402-5021,14:02:56.0,-50:21:43
J1403-0314,14:03:41,-03:15:28
J1403-6310,14:03:14.0,-63:10:27
J1403-7646,14:03:04.1,-76:46:57.5
J1404+1159,14:04:36.987,+11:59:16.0
J1405-4656,14:05:21.4255,-46:56:02.31
J1405-5641,14:05:12.41,-56:41:24.2
J1406-4233,14:06:04.79,-42:33:20.6
J1406-5806,14:06:01.2,-58:06:32
J1406-6121,14:06:50.04,-61:21:27.9
J1407-6048,14:07:58.64,-60:48:58.8
J1407-6153,14:07:56.5,-61:53:59
J1409-6953,14:09:16.9,-69:53:34.4
J1410-6132,14:10:23.591,-61:32:08.15
J1410-7404,14:10:07.370,-74:04:53.32
J1411+2551,14:11:18.866,+25:51:08.39
J1412+7922,14:12:55.867,+79:22:03.895
J1412-6111,14:12:59.62,-61:11:30.5
J1412-6145,14:12:07.63,-61:45:28.48
J1413-6141,14:13:09.87,-61:41:13
J1413-6205,14:13:29.9,-62:05:38
J1413-6222,14:13:05.47,-62:22:27.8
J1413-6307,14:13:31.316,-63:07:35.45
J1414-6802,14:14:25.7,-68:02:58
J1415-6621,14:15:31.27,-66:21:12.2
J1416-5033,14:16:44.6,-50:33:17
J1416-6037,14:16:30.59,-60:37:59.5
J1417-4402,14:17:30.60,-44:02:57.4
J1418-3921,14:18:50.283,-39:21:18.51
J1418-5945,14:18:32.3,-59:45:00
J1418-6058,14:18:42.7,-60:57:49
J1420-5416,14:20:29.11,-54:16:22.7
J1420-5625,14:20:03.062,-56:25:55.00
J1420-6048,14:20:08.237,-60:48:16.43
J1421-4409,14:21:20.96387,-44:09:04.553
J1422-6138,14:22:28.297,-61:38:28.32
J1423-6953,14:23:26.79,-69:53:42.82
J1424-5556,14:24:12.76,-55:56:13.9
J1424-56,14:24:23,-56:40:47
J1424-5822,14:24:32.130,-58:22:55.7
J1424-6438,14:24:59.2,-64:38:10.0
J1425-5723,14:25:36.56,-57:23:30.8
J1425-5759,14:25:59.11,-57:59:10.2
J1425-6210,14:25:07.7,-62:10:04.9
J1426+52,14:27:00,+52:10
J1427-4158,14:27:50.770,-41:58:56.3
J1428-5530,14:28:26.240,-55:30:50.06
J1429-5911,14:29:58.6,-59:11:36.6
J1429-5935,14:29:25.90,-59:35:58.9
J1430+22,14:30:01,+22:24:23
J1430-5712,14:30:16.17,-57:12:31.4
J1430-6623,14:30:40.735,-66:23:05.55
J1431-4715,14:31:44.6177,-47:15:27.574
J1431-5740,14:31:03.4953,-57:40:11.670
J1431-6328,14:13:21.23,-63:28:08.6
J1432-5032,14:32:52.27,-50:32:17.3
J1433+00,14:33:30,+00:28
J1433-6038,14:33:13.18,-60:38:34.7
J1434+7257,14:33:59.7370,+72:57:26.512
J1434-5943,14:34:58.31,-59:43:41.6
J1434-6006,14:34:05.3,-60:06:29.0
J1434-6029,14:34:39.1,-60:29:49
J1435-5954,14:35:00.208,-59:54:49.5
J1435-6100,14:35:20.2765,-61:00:57.956
J1437-5959,14:37:01.91,-59:59:01.4
J1437-6146,14:37:15.31,-61:46:02.0
J1439+7655,14:39:22,+76:55:46
J1439-5501,14:39:39.7420,-55:01:23.621
J1440-6344,14:40:31.26,-63:44:48.4
J1441-6137,14:41:44.3,-61:37:24
J1443-5122,14:43:26.97,-51:22:26
J1444-5941,14:44:46.5,-59:41:19
J1444-6026,14:44:06.02,-60:26:09.4
J1446-4701,14:46:35.7118273,-47:01:26.79506284
J1447-5757,14:47:28.2,-57:57:26
J1449-5846,14:49:25.43,-58:46:40.4
J1452-5851,14:52:52.60,-58:51:13.2
J1452-6036,14:52:51.885,-60:36:31.43
J1453+1902,14:53:45.71814071,+19:02:12.10158674
J1453-6413,14:53:32.665,-64:13:16.00
J1454-5846,14:54:10.908,-58:46:34.74
J1455-3330,14:55:47.97016649,-33:30:46.39947962
J1455-59,14:55:06,-59:23
J1456-48,14:56,-48:00
J1456-6843,14:55:59.923,-68:43:39.50
J1457-5122,14:57:40.093,-51:22:54.9
J1457-5900,14:57:39.0,-59:00:51
J1457-5902,14:57:31.9,-59:02:04
J1459-6053,14:59:29.99,-60:53:20.7
J1501-0046,15:01:44.9558,-00:46:23.52
J1501-5637,15:01:51.0,-56:37:48
J1502+28,15:02:09,+28:13
J1502+4653,15:02:19.83,+46:53:27.4
J1502-5653,15:02:57.389,-56:53:39.21
J1502-5828,15:02:43.8,-58:28:42
J1502-6128,15:02:29.84,-61:28:50.3
J1502-6752,15:02:18.615,-67:52:16.759
J1503+2111,15:03:54.60,+21:11:09.3
J1504-5621,15:04:49.14,-56:21:32
J1504-5659,15:04:31.987,-56:59:19.4
J1505-25,15:05,-25:00:00
J1506-5158,15:06:39.5,-51:58:10
J1507-4352,15:07:34.175,-43:52:04.05
J1507-5800,15:07:03.504,-58:00:56.20
J1507-6640,15:07:48.634,-66:40:57.86
J1509+5531,15:09:25.6298,+55:31:32.394
J1509-5850,15:09:27.156,-58:50:56.01
J1509-6015,15:09:07.5,-60:15:18.6
J1510-4422,15:10:48.9,-44:22:07
J1511-5414,15:11:51.285,-54:14:40.32
J1511-5835,15:11:07.0,-58:35:28
J1512-5431,15:12:05.7,-54:31:19
J1512-5759,15:12:43.04,-57:59:59.8
J1513-2550,15:13:23.32059,-25:50:31.285
J1513-5739,15:13:58.99,-57:39:01.4
J1513-5908,15:13:55.811,-59:08:09.60
J1513-5946,15:13:44.78,-59:46:31.9
J1513-6013,15:13:54.02,-60:13:26.5
J1514-4834,15:14:14.563,-48:34:19.97
J1514-4946,15:14:19.1141,-49:46:15.516
J1514-5316,15:14:40.160,-53:16:02.3
J1514-5925,15:14:59.10,-59:25:43.5
J1515-5720,15:15:09.23,-57:20:50.15
J1516-43,15:16:32.3,-43:20:00
J1517-313,15:17:51,-31:20
J1517-314,15:17:51,-31:20
J1517-32,15:17:01,-32:26:05
J1517-4356,15:17:27.34,-43:56:17.9
J1517-4636,15:17:29.376,-46:36:00.6
J1518+0204A,15:18:33.3176,02:05:27.55
J1518+0204B,15:18:31.458,02:05:15.47
J1518+0204C,15:18:32.788893,+02:04:47.8153
J1518+0204D,15:18:33.2,+02:04:52
J1518+0204E,15:18:34,+02:04:58
J1518+0204F,15:18:33.2,+02:04:52
J1518+4904,15:18:16.799084,49:04:34.25119
J1518-0627,15:18:59.1104,-06:27:07.70
J1518-3952,15:18:56.968,-39:52:30.3
J1518-5415,15:18:13.50,-54:15:45.0
J1519-5734,15:19:47.59,-57:34:13.6
J1519-6106,15:19:35.81,-61:06:54.6
J1519-6308,15:19:09.56,-63:08:19.5
J1522-5525,15:22:06.7,-55:25:17.5
J1522-5735,15:22:05.3,-57:35:00
J1522-5829,15:22:42.244,-58:29:02.815
J1523-3235,15:23:37.70,-32:35:42.1
J1524-20,15:24:44,-20:59:21
J1524-5625,15:24:49.86,-56:25:23.4
J1524-5706,15:24:21.42,-57:06:34.64
J1524-5819,15:24:24.65,-58:19:14.1
J1525-5417,15:25:28.35,-54:17:20
J1525-5523,15:25:36.064,-55:23:27.2
J1525-5545,15:25:28.1340,-55:45:49.842
J1525-5605,15:25:41.45,-56:05:13
J1526-2744,15:26:34,-27:43:34
J1526-5633,15:26:41.2,-56:33:43
J1527-3931,15:27:58.828,-39:31:34.2
J1527-5552,15:27:40.734,-55:52:08.352
J1528-3146,15:28:34.9542,-31:46:06.836
J1528-4109,15:28:08.033,-41:09:28.8
J1528-5547,15:28:39.18,-55:47:23
J1528-5838,15:28:24.3,-58:38:01
J1529+40,15:29:12,+40:49
J1529-26,15:29,-26:00:00
J1529-3828,15:29:15.1066,-38:28:45.85
J1529-5355,15:29:57.6,-53:55:36
J1529-5611,15:29:35.8,-56:11:29
J1530-21,15:30,-21:00:00
J1530-5327,15:30:26.892,-53:27:56.02
J1530-6343,15:30:47.608,-63:43:13.6
J1531-4012,15:31:08.05,-40:12:30.9
J1531-5610,15:31:27.901,-56:10:55.33
J1532+2745,15:32:10.3646,+27:45:49.623
J1532-5308,15:32:35.5,-53:08:06
J1532-56,15:32:18,-56:32
J1534-4428,15:34:52.00,-44:28:09.4
J1534-46,15:34:08,-46:14
J1534-5334,15:34:08.278,-53:34:19.66
J1534-5405,15:34:33.59,-54:05:39.7
J1535-4114,15:35:17.07,-41:14:03.1
J1535-4415,15:35:55.92,-44:15:08.4
J1535-5450,15:35:58.26,-54:50:26
J1535-5848,15:35:16.76,-58:48:27.7
J1536+17,15:36:15,+17:49
J1536-30,15:36,-30:00:00
J1536-3602,15:36:17.382,-36:02:58.8
J1536-4948,15:36:23.22091,-49:48:54.6880
J1536-5433,15:36:04.82,-54:33:15
J1536-5907,15:36:17.72,-59:07:03.6
J1537+1155,15:37:09.961730,+11:55:55.43387
J1537-4912,15:37:28.2,-49:12:03
J1537-5153,15:37:15.73,-51:53:06
J1537-5312,15:37:37.69466,-53:12:25.057
J1537-5645,15:37:51.0,-56:45:4
J1538+2345,15:38:06.07,+23:45:04.0
J1538-5438,15:38:48.95,-54:38:17
J1538-5519,15:38:40.83,-55:19:46
J1538-5551,15:38:45.016,-55:51:36.95
J1538-5621,15:38:43.29,-56:21:55.5
J1538-5638,15:38:05.7,-56:38:12
J1538-5732,15:38:18.18,-57:32:29.3
J1538-5750,15:38:08.41,-57:50:17.1
J1539-4828,15:39:40.84,-48:28:57
J1539-5521,15:39:07.97,-55:21:11.2
J1539-5626,15:39:14.06,-56:26:26.3
J1539-6322,15:39:24.70,-63:22:53.2
J1540-5736,15:40:59.02,-57:36:57
J1541+47,15:41:05.54,+47:03:03.45
J1541-42,15:41:55,-42:18:50
J1541-5535,15:41:49.6,-55:35:01
J1542-5034,15:42:45.32,-50:34:03.66
J1542-5133,15:42:19.93,-51:33:35
J1542-5303,15:42:54.51,-53:03:41
J1543+0929,15:43:38.8250,+09:29:16.339
J1543-0620,15:43:30.1373,-06:20:45.332
J1543-5013,15:43:58.25,-50:13:58
J1543-5149,15:43:44.1498,-51:49:54.685
J1543-5459,15:43:56.43,-54:59:15.0
J1544+4937,15:44:04.48722,+49:37:55.2545
J1544-0713,15:44:23.527,-07:13:59.02
J1544-5308,15:44:59.8294,-53:08:46.953
J1545-4550,15:45:55.94540544,-45:50:37.53742442
J1546-3747A,15:46:03.44,-37:47:10.1
J1546-5302,15:46:07.4,-53:02:23.0
J1546-5925,15:46:29.3456,-59:25:44.871
J1547-0944,15:47:46.058,-09:44:7.8
J1547-5709,15:47:24.1248,-57:09:17.5699
J1547-5750,15:47:30.60,-57:50:29.4
J1547-5839,15:47:34.99,-58:39:09.8
J1548-4821,15:48:23.26,-48:21:49.7
J1548-4927,15:48:19.47,-49:27:40.4
J1548-5607,15:48:44.015,-56:07:34.3
J1549+2113,15:49:40.941,+21:13:26.9
J1549-4848,15:49:21.08,-48:48:35.5
J1549-57,15:49:05,-57:21:37
J1549-5722,15:49:47.9,-57:22:02
J1550-5242,15:50:02.95,-52:42:07.0
J1550-5317,15:50:04.8,-53:17:21
J1550-5418,15:50:54.12386,-54:18:24.1141
J1551-0658,15:51:07.215,-06:58:06.5
J1551-4424,15:51:48.02,-44:24:42
J1551-5310,15:51:41.0,-53:11:00.5
J1551-6214,15:51:36.788,-62:14:23.37
J1552+5437,15:52:53.33117,+54:37:05.7866
J1552-4937,15:52:13.2709,-49:37:49.744
J1553-5456,15:53:59.61,-54:56:06.25
J1554+18,15:54:17,+18:04
J1554-5209,15:54:27.15,-52:09:38.3
J1554-5512,15:54:40.5,-55:12:33
J1555+01,15:55:58,+01:08
J1555-0515,15:55:40.097,-05:15:57.4
J1555-2341,15:55:33.18376895,-23:41:09.87984612
J1555-2908,15:55:40.65855,-29:08:28.4232
J1555-3134,15:55:17.952,-31:34:20.10
J1556-5358,15:56:51.5,-53:58:55
J1557-4258,15:57:00.2580,-42:58:12.66
J1557-5151,15:57:29.30,-51:51:08.4
J1558-5419,15:58:41.45,-54:19:26
J1558-5756,15:58:30.53,-57:56:26.1
J1558-67,15:58:21,-67:35:59
J1559-44,15:59,-44:00
J1559-4438,15:59:41.526126,-44:38:45.901778
J1559-5545,15:59:20.7,-55:45:47
J1600-3053,16:00:51.90268858,-30:53:49.40155502
J1600-5044,16:00:53.015,-50:44:21.30
J1600-5751,16:00:19.90,-57:51:15.3
J1600-5916,16:00:35.0,-59:16:59
J1601-50,16:01:24,-50:23
J1601-5244,16:01:27.3,-52:44:9
J1601-5335,16:01:54.81,-53:35:44.1
J1602+3901,16:02:18.84,+39:01:01.8
J1602-4957,16:02:18.2,-49:57:32
J1602-5100,16:02:18.73,-51:00:06.1
J1603+18,16:03:34,+18:51
J1603-1655,16:03:09,-16:55:28
J1603-2531,16:03:04.8253,-25:31:47.9
J1603-2712,16:03:08.06277999,-27:13:27.62267059
J1603-3539,16:03:53.697,-35:39:57.1
J1603-5312,16:03:50.88,-53:12:58.0
J1603-5657,16:03:31.46,-56:57:44.19
J1603-7202,16:03:35.67717032,-72:02:32.76690336
J1604-3142,16:04:36.546,-31:42:06.4
J1604-44,16:04:32,-44:43
J1604-4718,16:04:29.41,-47:18:47.9
J1604-4909,16:04:22.976,-49:09:57.98
J1604-7203,16:04:29.177,-72:03:30.46
J1605+3249,16:05:18.52,+32:49:18.0
J1605-5215,16:05:19.0,-52:15:48
J1605-5257,16:05:16.265,-52:57:34.80
J1607-0032,16:07:12.0598,-00:32:41.527
J1607-5140,16:07:49.3,-51:40:16
J1607-6449,16:07:48.711,-64:49:43.08
J1609-1930,16:09:05.35,-19:30:08
J1609-4616,16:09:41.13,-46:16:22.5
J1609-5158,16:09:26.7,-51:58:18
J1610-1322,16:10:42.77409392,-13:22:22.31908425
J1610-17,16:10:11,-17:50
J1610-5006,16:10:44.30,-50:06:42.2
J1610-5303,16:10:12.82,-53:03:49
J1611-01,16:11,-01:28
J1611-29,16:11,-29:00:00
J1611-4811,16:11:02.7,-48:11:39
J1611-4949,16:11:46.63,-49:49:57.2
J1611-5209,16:11:03.37,-52:09:22.13
J1611-5847,16:11:51.313,-58:47:42.33
J1612+2008,16:12:23.432,20:08:18.33
J1612-2408,16:12:26.06,-24:08:04
J1612-49,16:12:54,-49:27
J1612-5022,16:12:28.028,-50:22:57.3
J1612-5136,16:12:00.6,-51:36:54
J1612-55,16:12:06,-55:09
J1612-5805,16:12:27.816,-58:05:29.2
J1613-4714,16:13:29.018,-47:14:26.41
J1613-5211,16:13:42.46,-52:11:21.0
J1613-5234,16:13:57.49,-52:34:17
J1614+0737,16:14:40.90540245,+07:37:31.01035985
J1614-2230,16:14:36.50696804,-22:30:31.30421832
J1614-23,16:14,-23:15
J1614-3846,16:14:42.52,-38:46:35
J1614-3937,16:14:31.227,-39:37:28.8
J1614-5048,16:14:11.29,-50:48:03.5
J1614-5144,16:14:45.7,-51:44:49
J1614-5402,16:14:50.38,-54:02:47
J1615-2940,16:15:52.83450413,-29:40:15.7609466
J1615-4958,16:15:17.38,-49:58:02.0
J1615-5137,16:15:16.8,-51:37:12
J1615-5444,16:15:01.191,-54:44:32.4
J1615-5537,16:15:40.43,-55:37:00.5
J1616-5017,16:16:29.89,-50:17:14.9
J1616-5109,16:16:30.9,-51:09:17
J1616-5208,16:16:23.4,-52:08:48
J1617-4216,16:17:23.38,-42:16:59
J1617-4608,16:17:35.105,-46:08:36.5
J1617-5055,16:17:29.3,-50:55:13.2
J1618-36,16:18:32.1,-36:03:42
J1618-3921,16:18:18.8248,-39:21:01.815
J1618-4624,16:18:52.77579,-46:24:34.950
J1618-4723,16:18:06.80,-47:23:19.1
J1619-3345,16:19:02,-33:45:01
J1619-42,16:19:06,-42:02
J1620-4927,16:20:41.52,-49:27:37.1
J1620-5414,16:20:14.44,-54:14:51.7
J1621-5039,16:21:04.71,-50:39:48.6
J1621-5243,16:21:55.8,-52:43:44
